feature,group,unit,f044_value,train_min,train_max,train_percentile,z_score,all50_min,all50_max,other_test_min,other_test_max,intended_constraint,status,interpretation,evidence_source
chiplet_area_mm2_max,chiplet_geometry,mm^2,83.73834839868128,51.58628265073521,140.27680608349067,70.0,0.2877593895331111,51.58628265073521,141.47292604448478,52.299687500987126,113.36713173887472,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
pairwise_center_distance_mm_min,placement,mm,9.714285713499995,7.428571427499996,15.999999999500002,61.25,-0.0553456058828111,7.428571427499996,15.999999999500002,7.749999999,11.499999999500004,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
pairwise_center_distance_mm_mean,placement,mm,29.18103743407507,17.52633533625642,36.785236828425155,75.0,0.64393025691059,17.52633533625642,36.785236828425155,25.40976084209785,32.693824369694326,,PASS,"upper quartile, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
pairwise_center_distance_normalized_mean,placement,ratio,0.5897867627735023,0.4171504478439412,0.5927553941046622,97.5,1.8972936990203983,0.4171504478439412,0.6016516969885086,0.5268306293224309,0.5681795253494308,,PASS,"97.5th percentile, just below training maximum",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
boundary_clearance_mm_min,placement,mm,0.261532291,0.258671567,4.58168963,32.5,-0.5290290987626285,0.258671567,4.58168963,0.259073857,0.707601162,nonnegative containment,PASS,"close to an edge, but covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
boundary_clearance_mm_mean,placement,mm,3.963414828449999,2.5505159420999997,8.479988427666665,27.5,-0.5568992024892111,2.5505159420999997,8.479988427666665,3.5135096795000007,6.950110839107144,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
edge_occupancy_fraction,placement,fraction,0.45,0.0,0.7777777777777778,15.0,-0.6420974644715395,0.0,0.7777777777777778,0.25,0.7777777777777778,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
corner_occupancy_fraction,placement,fraction,0.2,0.0,0.2857142857142857,78.75,0.9796269993046616,0.0,0.2857142857142857,0.0714285714285714,0.2222222222222222,,PASS,"upper-tail, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_cpu_fraction,composition,fraction,0.15,0.0,0.4,45.0,-0.0537071596409627,0.0,0.4,0.125,0.2222222222222222,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_gpu_fraction,composition,fraction,0.2,0.0,0.4,56.25,0.2826837290352526,0.0,0.4,0.1428571428571428,0.3333333333333333,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_npu_fraction,composition,fraction,0.15,0.0,0.3333333333333333,83.75,1.0337989443502107,0.0,0.3333333333333333,0.0,0.3333333333333333,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_hbm_fraction,composition,fraction,0.2,0.0,0.4444444444444444,38.75,-0.2336610621741942,0.0,0.4444444444444444,0.0,0.25,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_dram_fraction,composition,fraction,0.15,0.0,0.35,37.5,-0.1722705285828861,0.0,0.3571428571428571,0.0,0.1875,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
type_io_fraction,composition,fraction,0.15,0.0,0.3333333333333333,48.75,-0.1869171830308986,0.0,0.3333333333333333,0.1111111111111111,0.1875,,PASS,represented in training,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_total_power_W_family_mean,workload,W,552.6032573761499,177.7349996878,908.4698128284,75.0,0.7632437659397762,177.7349996878,908.4698128284,403.3304351032,777.95543567655,generated by frozen type-specific ranges,PASS,75th training percentile,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_total_power_W_family_std,workload,W,385.9735712138419,126.46334130000136,766.3133479069686,70.0,0.4233155610932043,126.46334130000136,766.3133479069686,331.3261948370735,655.5577972483864,generated by frozen 200-cell design,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_total_power_W_family_q10,workload,W,148.7926792390001,28.880213103000003,179.77983293499994,90.0,1.5995995178151263,28.880213103000003,198.974040523,56.28755073199999,198.974040523,generated by frozen 200-cell design,PASS,"90th training percentile, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_total_power_W_family_q90,workload,W,1152.761498269,366.513865118,2105.8733985050003,70.0,0.584175799058024,366.513865118,2105.8733985050003,905.131006284,1797.346607666999,generated by frozen 200-cell design,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_mean_power_density_W_per_mm2_family_mean,workload,W/mm^2,0.4965401850118159,0.2062379245006881,0.6506820878973911,82.5,0.8968787273852505,0.2062379245006881,0.6506820878973911,0.3686200268329087,0.6428809841065646,type-specific active/idle ranges,PASS,"82.5th percentile, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
metadata_max_power_density_W_per_mm2_family_mean,workload,W/mm^2,1.4824803951382637,0.8581477919220925,1.574407177940011,75.0,0.7825243792547816,0.8581477919220925,1.617072067558765,1.2816525296494363,1.617072067558765,type-specific active ranges,PASS,"75th percentile, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_boundary_minus_interior_mean_K_workload_mean,source_response,K,1.8143743025169905,-7.831581625120978,0.8690171834108793,100.0,2.1820021853142486,-7.831581625120978,1.8143743025169905,-2.1587939544372836,1.7664553061699393,,WARNING,outside training range; distinctive directional/boundary response,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_gradient_energy_K2_per_cell2_workload_mean,source_response,K^2/cell^2,2.6907820071972783,0.7744522550263013,3.726275194667701,80.0,0.8461855338455242,0.7744522550263013,3.8398877243975575,1.7652334910336094,3.388441360463556,,PASS,"upper-tail, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_low_frequency_energy_fraction_workload_mean,source_response,fraction,0.9612586759480128,0.961524738220341,0.9886370079187722,0.0,-1.411633779829773,0.9528006323472848,0.9928140677548896,0.9528006323472848,0.974123580911123,,WARNING,slightly below training minimum; response is strongly low-frequency,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_occupied_minus_unoccupied_mean_K_workload_mean,source_response,K,2.879888440562941,-9.877836262628565,7.065282964642686,90.0,1.2905427017323474,-9.877836262628565,7.065282964642686,-3.033781700895695,6.369112999181953,,PASS,"90th percentile, covered",outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_peak_above_mean_K_workload_mean,source_response,K,24.589653589613736,14.289255036078394,40.984047340787946,47.5,-0.1558278805394813,14.289255036078394,41.534448014311494,18.953405416086316,37.61542154598981,,PASS,near training median,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
source_base_std_K_workload_mean,source_response,K,6.954361555177968,3.808189338241819,15.626917316574511,27.5,-0.8016603631478789,3.808189338241819,15.626917316574511,4.961606410852308,10.200864649862856,,PASS,covered,outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/family_descriptors.csv; outputs/benchmark_v2_50family/package_residual/feature_fusion_train40_source_v1_seed1/family_ood_analysis/heldout_feature_zscores.csv
chiplet_shape_aspect_ratio_mean,chiplet_geometry,ratio,1.13439130431082,1.1019323671024486,1.8126428571961533,32.5,-0.24860522859505735,1.1019323671024486,1.8126428571961533,1.115555555546989,1.1481976744611486,type side-length limits enforced,PASS,"orientation-invariant max(width,height)/min(width,height), covered",recomputed from configs/benchmark_v2_50family/families/*.yaml
chiplet_shape_aspect_ratio_std,chiplet_geometry,ratio,0.10193755268015868,0.0688075721273911,0.22742458941169846,60.0,-0.0220044284779148,0.0688075721273911,0.22742458941169846,0.09427590358759812,0.11494630100704331,type side-length limits enforced,PASS,"orientation-invariant max(width,height)/min(width,height), covered",recomputed from configs/benchmark_v2_50family/families/*.yaml
chiplet_shape_aspect_ratio_min,chiplet_geometry,ratio,1.0,1.0,1.518000000006933,50.0,-0.6024547585164176,1.0,1.518000000006933,1.0,1.0,type side-length limits enforced,PASS,"orientation-invariant max(width,height)/min(width,height), covered",recomputed from configs/benchmark_v2_50family/families/*.yaml
chiplet_shape_aspect_ratio_max,chiplet_geometry,ratio,1.3399999999446723,1.1799999999925286,2.2110000000018135,25.0,-0.17740405471613607,1.1799999999925286,2.2110000000018135,1.3399999998774417,1.3400000002066894,type side-length limits enforced,PASS,"orientation-invariant max(width,height)/min(width,height), covered",recomputed from configs/benchmark_v2_50family/families/*.yaml
active_source_count_mean,workload,count,9.25,3.065,28.66,55.00000000000001,-0.2050253337067832,3.065,28.66,7.44,25.04,frozen workload generator,PASS,mean explicit active-chiplet count; covered,deterministic regeneration via benchmark_v2_workloads.generate_full_family_workloads
high_load_source_count_mean,workload,count,2.12,0.81,6.24,55.00000000000001,-0.18232003027685265,0.81,6.24,1.725,5.46,frozen workload generator,PASS,mean count with within-type load fraction >=0.72; covered,deterministic regeneration via benchmark_v2_workloads.generate_full_family_workloads
dominant_source_share_mean,workload,fraction,0.2536236060902252,0.13082461010831437,0.5502562781826085,27.500000000000004,-0.551900602620826,0.13082461010831437,0.5502562781826085,0.1486963634698976,0.4052295462879398,frozen workload generator,PASS,mean max-chiplet/total-power share; covered,deterministic regeneration via benchmark_v2_workloads.generate_full_family_workloads
source_baseline_mae_K,source_error,K,3.6245087303221224,0.4595499267801642,2.3878768107295034,100.0,5.890689487065004,0.4595499267801642,3.6245087303221224,0.9443030374869704,1.3805121142789722,"diagnostic outcome, not validity constraint",WARNING,well outside training and other-test range,outputs/benchmark_v2_50family/source_superposition/final_train40_source_v1/base_quality_by_case.csv
source_baseline_mean_signed_error_K,source_error,K,-2.52244158372283,-1.7811019198223947,0.5990251680463552,0.0,-6.340852175906448,-2.52244158372283,0.5990251680463552,-0.1200068433210253,0.5114726112410426,"diagnostic outcome, not validity constraint",WARNING,large underprediction/global bias,outputs/benchmark_v2_50family/source_superposition/final_train40_source_v1/base_quality_by_case.csv
source_baseline_centered_field_mae_K,source_error,K,2.7103823636331983,0.4667684739774267,2.3320024967176316,100.0,4.043728441265633,0.4667684739774267,2.7103823636331983,0.8628431622631433,1.3805081090819475,"diagnostic outcome, not validity constraint",WARNING,spatial mismatch outside training range,outputs/benchmark_v2_50family/source_superposition/final_train40_source_v1/base_quality_by_case.csv
source_baseline_hotspot_location_error_cells,source_error,cells,20.145122409115505,3.077380196785563,24.015485916674315,97.5,3.3292780008937513,3.077380196785563,24.015485916674315,5.726332115909422,22.01903292149711,"diagnostic outcome, not validity constraint",WARNING,upper-tail but not unique among test families,outputs/benchmark_v2_50family/source_superposition/final_train40_source_v1/base_quality_by_case.csv
source_baseline_low_frequency_error_energy_fraction,source_error,fraction,0.6792212345932361,0.2367411794338163,0.5849791047407031,100.0,4.062814513532834,0.2367411794338163,0.6792212345932361,0.3512009503933113,0.3694237443681646,"diagnostic outcome, not validity constraint",WARNING,error unusually low-frequency,outputs/benchmark_v2_50family/source_superposition/final_train40_source_v1/base_quality_by_case.csv
